X;CountryCode;IFAReg;OECD
Afghanistan;AFG;rest;Non-OECD
Aland Islands;ALA;rest;Non-OECD
Albania;ALB;Europe;Non-OECD
Algeria;DZA;Africa;Non-OECD
American Samoa;ASM;rest;Non-OECD
Andorra;AND;rest;Non-OECD
Angola;AGO;Africa;Non-OECD
Anguilla;AIA;rest;Non-OECD
Antarctica;ATA;rest;Non-OECD
Antigua and Barbuda;ATG;rest;Non-OECD
Argentina;ARG;Central and South America;Non-OECD
Armenia;ARM;Eurasia;Non-OECD
Aruba;ABW;rest;Non-OECD
Australia;AUS;Asia Pacific;OECD
Austria;AUT;Europe;OECD
Azerbaijan;AZE;Eurasia;Non-OECD
Bahamas;BHS;rest;Non-OECD
Bahrain;BHR;Middle East;Non-OECD
Bangladesh;BGD;Asia Pacific;Non-OECD
Barbados;BRB;rest;Non-OECD
Belarus;BLR;Europe;Non-OECD
Belgium;BEL;Europe;OECD
Belize;BLZ;rest;Non-OECD
Benin;BEN;Africa;Non-OECD
Bermuda;BMU;rest;Non-OECD
Bhutan;BTN;rest;Non-OECD
Bolivia, Plurinational State of;BOL;Central and South America;Non-OECD
Bonaire, Sint Eustatius and Saba;BES;rest;Non-OECD
Bosnia and Herzegovina;BIH;Europe;Non-OECD
Botswana;BWA;Africa;Non-OECD
Bouvet Island;BVT;rest;Non-OECD
Brazil;BRA;Central and South America;Non-OECD
British Indian Ocean Territory;IOT;rest;Non-OECD
Brunei Darussalam;BRN;Asia Pacific;Non-OECD
Bulgaria;BGR;Europe;Non-OECD
Burkina Faso;BFA;Africa;Non-OECD
Burundi;BDI;Africa;Non-OECD
Cambodia;KHM;Asia Pacific;Non-OECD
Cameroon;CMR;Africa;Non-OECD
Canada;CAN;North America;OECD
Cape Verde;CPV;Africa;Non-OECD
Cayman Islands;CYM;rest;Non-OECD
Central African Republic;CAF;Africa;Non-OECD
Chad;TCD;Africa;Non-OECD
Chile;CHL;Central and South America;OECD
China;CHN;Asia Pacific;Non-OECD
Christmas Island;CXR;rest;Non-OECD
Cocos (Keeling) Islands;CCK;rest;Non-OECD
Colombia;COL;Central and South America;OECD
Comoros;COM;Africa;Non-OECD
Congo;COG;Africa;Non-OECD
Congo, the Democratic Republic of the;COD;Africa;Non-OECD
Cook Islands;COK;rest;Non-OECD
Costa Rica;CRI;Central and South America;Non-OECD
Cote d Ivoire;CIV;Africa;Non-OECD
Croatia;HRV;Europe;Non-OECD
Cuba;CUB;Central and South America;Non-OECD
Curacao;CUW;Central and South America;Non-OECD
Cyprus;CYP;Europe;Non-OECD
Czech Republic;CZE;Europe;OECD
Denmark;DNK;Europe;OECD
Djibouti;DJI;Africa;Non-OECD
Dominica;DMA;rest;Non-OECD
Dominican Republic;DOM;Central and South America;Non-OECD
Ecuador;ECU;Central and South America;Non-OECD
Egypt;EGY;Africa;Non-OECD
El Salvador;SLV;Central and South America;Non-OECD
Equatorial Guinea;GNQ;Africa;Non-OECD
Eritrea;ERI;Africa;Non-OECD
Estonia;EST;Europe;OECD
Ethiopia;ETH;Africa;Non-OECD
Falkland Islands (Malvinas);FLK;rest;Non-OECD
Faroe Islands;FRO;rest;Non-OECD
Fiji;FJI;rest;Non-OECD
Finland;FIN;Europe;OECD
France;FRA;Europe;OECD
French Guiana;GUF;rest;Non-OECD
French Polynesia;PYF;rest;Non-OECD
French Southern Territories;ATF;rest;Non-OECD
Gabon;GAB;Africa;Non-OECD
Gambia;GMB;Africa;Non-OECD
Georgia;GEO;Eurasia;Non-OECD
Germany;DEU;Europe;OECD
Ghana;GHA;Africa;Non-OECD
Gibraltar;GIB;Europe;Non-OECD
Greece;GRC;Europe;OECD
Greenland;GRL;rest;Non-OECD
Grenada;GRD;rest;Non-OECD
Guadeloupe;GLP;rest;Non-OECD
Guam;GUM;rest;Non-OECD
Guatemala;GTM;Central and South America;Non-OECD
Guernsey;GGY;rest;Non-OECD
Guinea;GIN;Africa;Non-OECD
Guinea-Bissau;GNB;Africa;Non-OECD
Guyana;GUY;rest;Non-OECD
Haiti;HTI;Central and South America;Non-OECD
Heard Island and McDonald Islands;HMD;rest;Non-OECD
Holy See (Vatican City State);VAT;rest;Non-OECD
Honduras;HND;Central and South America;Non-OECD
