X;CountryCode;IFAReg;OECD
Afghanistan;AFG;West Asia;Non-OECD
Aland Islands;ALA;West Europe;Non-OECD
Albania;ALB;Central Europe;Non-OECD
Algeria;DZA;Africa;Non-OECD
American Samoa;ASM;rest;Non-OECD
Andorra;AND;West Europe;Non-OECD
Angola;AGO;Africa;Non-OECD
Anguilla;AIA;Latin America;Non-OECD
Antarctica;ATA;rest;Non-OECD
Antigua and Barbuda;ATG;Latin America;Non-OECD
Argentina;ARG;Latin America;Non-OECD
Armenia;ARM;East Europe & Central Asia;Non-OECD
Aruba;ABW;Latin America;Non-OECD
Australia;AUS;Oceania;OECD
Austria;AUT;West Europe;OECD
Azerbaijan;AZE;East Europe & Central Asia;Non-OECD
Bahamas;BHS;Latin America;Non-OECD
Bahrain;BHR;West Asia;Non-OECD
Bangladesh;BGD;South Asia;Non-OECD
Barbados;BRB;Latin America;Non-OECD
Belarus;BLR;East Europe & Central Asia;Non-OECD
Belgium;BEL;West Europe;OECD
Belize;BLZ;Latin America;Non-OECD
Benin;BEN;Africa;Non-OECD
Bermuda;BMU;rest;Non-OECD
Bhutan;BTN;rest;Non-OECD
Bolivia, Plurinational State of;BOL;Latin America;Non-OECD
Bonaire, Sint Eustatius and Saba;BES;Latin America;Non-OECD
Bosnia and Herzegovina;BIH;Central Europe;Non-OECD
Botswana;BWA;Africa;Non-OECD
Bouvet Island;BVT;rest;Non-OECD
Brazil;BRA;Latin America;Non-OECD
British Indian Ocean Territory;IOT;rest;Non-OECD
Brunei Darussalam;BRN;East Asia;Non-OECD
Bulgaria;BGR;Central Europe;Non-OECD
Burkina Faso;BFA;Africa;Non-OECD
Burundi;BDI;Africa;Non-OECD
Cambodia;KHM;East Asia;Non-OECD
Cameroon;CMR;Africa;Non-OECD
Canada;CAN;North America;OECD
Cape Verde;CPV;Africa;Non-OECD
Cayman Islands;CYM;Latin America;Non-OECD
Central African Republic;CAF;Africa;Non-OECD
Chad;TCD;Africa;Non-OECD
Chile;CHL;Latin America;OECD
China;CHN;East Asia;Non-OECD
Christmas Island;CXR;rest;Non-OECD
Cocos (Keeling) Islands;CCK;rest;Non-OECD
Colombia;COL;Latin America;OECD
Comoros;COM;Africa;Non-OECD
Congo;COG;Africa;Non-OECD
Congo, the Democratic Republic of the;COD;Africa;Non-OECD
Cook Islands;COK;rest;Non-OECD
Costa Rica;CRI;Latin America;Non-OECD
Cote d Ivoire;CIV;Africa;Non-OECD
Croatia;HRV;Central Europe;Non-OECD
Cuba;CUB;Latin America;Non-OECD
Curacao;CUW;Latin America;Non-OECD
