X;CountryCode;IFAReg;OECD
Afghanistan;AFG;Total West Asia;Non-OECD
Aland Islands;ALA;Total West Europe;Non-OECD
Albania;ALB;Total Central Europe;Non-OECD
Algeria;DZA;Total Africa;Non-OECD
American Samoa;ASM;Total Various;Non-OECD
Andorra;AND;Total West Europe;Non-OECD
Angola;AGO;Total Africa;Non-OECD
Anguilla;AIA;Total Latin America;Non-OECD
Antarctica;ATA;Total Various;Non-OECD
Antigua and Barbuda;ATG;Total Latin America;Non-OECD
Argentina;ARG;Total Latin America;Non-OECD
Armenia;ARM;Total E_ Europe & C_ Asia;Non-OECD
Aruba;ABW;Total Latin America;Non-OECD
Australia;AUS;Total Oceania;OECD
Austria;AUT;Total West Europe;OECD
Azerbaijan;AZE;Total E_ Europe & C_ Asia;Non-OECD
Bahamas;BHS;Total Latin America;Non-OECD
Bahrain;BHR;Total West Asia;Non-OECD
Bangladesh;BGD;Total South Asia;Non-OECD
Barbados;BRB;Total Latin America;Non-OECD
Belarus;BLR;Total E_ Europe & C_ Asia;Non-OECD
Belgium;BEL;Total West Europe;OECD
Belize;BLZ;Total Latin America;Non-OECD
Benin;BEN;Total Africa;Non-OECD
Bermuda;BMU;Total Various;Non-OECD
Bhutan;BTN;Total Various;Non-OECD
Bolivia, Plurinational State of;BOL;Total Latin America;Non-OECD
Bonaire, Sint Eustatius and Saba;BES;Total Latin America;Non-OECD
Bosnia and Herzegovina;BIH;Total Central Europe;Non-OECD
Botswana;BWA;Total Africa;Non-OECD
Bouvet Island;BVT;Total Various;Non-OECD
Brazil;BRA;Total Latin America;Non-OECD
British Indian Ocean Territory;IOT;Total Various;Non-OECD
Brunei Darussalam;BRN;Total East Asia;Non-OECD
Bulgaria;BGR;Total Central Europe;Non-OECD
Burkina Faso;BFA;Total Africa;Non-OECD
Burundi;BDI;Total Africa;Non-OECD
Cambodia;KHM;Total East Asia;Non-OECD
Cameroon;CMR;Total Africa;Non-OECD
Canada;CAN;Total North America;OECD
Cape Verde;CPV;Total Africa;Non-OECD
Cayman Islands;CYM;Total Latin America;Non-OECD
Central African Republic;CAF;Total Africa;Non-OECD
Chad;TCD;Total Africa;Non-OECD
Chile;CHL;Total Latin America;OECD
China;CHN;Total East Asia;Non-OECD
Christmas Island;CXR;Total Various;Non-OECD
Cocos (Keeling) Islands;CCK;Total Various;Non-OECD
Colombia;COL;Total Latin America;OECD
Comoros;COM;Total Africa;Non-OECD
Congo;COG;Total Africa;Non-OECD
Congo, the Democratic Republic of the;COD;Total Africa;Non-OECD
Cook Islands;COK;Total Various;Non-OECD
Costa Rica;CRI;Total Latin America;Non-OECD
Cote d Ivoire;CIV;Total Africa;Non-OECD
Croatia;HRV;Total Central Europe;Non-OECD
Cuba;CUB;Total Latin America;Non-OECD
Curacao;CUW;Total Latin America;Non-OECD
Cyprus;CYP;Total West Europe;Non-OECD
Czech Republic;CZE;Total Central Europe;OECD
Denmark;DNK;Total West Europe;OECD
Djibouti;DJI;Total Africa;Non-OECD
Dominica;DMA;Total Latin America;Non-OECD
Dominican Republic;DOM;Total Latin America;Non-OECD
Ecuador;ECU;Total Latin America;Non-OECD
Egypt;EGY;Total Africa;Non-OECD
El Salvador;SLV;Total Latin America;Non-OECD
Equatorial Guinea;GNQ;Total Africa;Non-OECD
Eritrea;ERI;Total Africa;Non-OECD
Estonia;EST;Total E_ Europe & C_ Asia;OECD
Ethiopia;ETH;Total Africa;Non-OECD
Falkland Islands (Malvinas);FLK;Total Latin America;Non-OECD
Faroe Islands;FRO;Total West Europe;Non-OECD
Fiji;FJI;Total Oceania;Non-OECD
Finland;FIN;Total West Europe;OECD
France;FRA;Total West Europe;OECD
French Guiana;GUF;Total Latin America;Non-OECD
French Polynesia;PYF;Total Various;Non-OECD
French Southern Territories;ATF;Total Various;Non-OECD
Gabon;GAB;Total Africa;Non-OECD
Gambia;GMB;Total Africa;Non-OECD
Georgia;GEO;Total E_ Europe & C_ Asia;Non-OECD
Germany;DEU;Total West Europe;OECD
Ghana;GHA;Total Africa;Non-OECD
Gibraltar;GIB;Total West Europe;Non-OECD
Greece;GRC;Total West Europe;OECD
Greenland;GRL;Total West Europe;Non-OECD
Grenada;GRD;Total Latin America;Non-OECD
Guadeloupe;GLP;Total Latin America;Non-OECD
Guam;GUM;Total Various;Non-OECD
Guatemala;GTM;Total Latin America;Non-OECD
Guernsey;GGY;Total West Europe;Non-OECD
Guinea;GIN;Total Africa;Non-OECD
Guinea-Bissau;GNB;Total Africa;Non-OECD
Guyana;GUY;Total Latin America;Non-OECD
Haiti;HTI;Total Latin America;Non-OECD
Heard Island and McDonald Islands;HMD;Total Various;Non-OECD
Holy See (Vatican City State);VAT;Total West Europe;Non-OECD
Honduras;HND;Total Latin America;Non-OECD
Hong Kong;HKG;Total East Asia;Non-OECD
Hungary;HUN;Total Central Europe;OECD
Iceland;ISL;Total West Europe;OECD
India;IND;Total South Asia;Non-OECD
Indonesia;IDN;Total East Asia;Non-OECD
Iran, Islamic Republic of;IRN;Total West Asia;Non-OECD
Iraq;IRQ;Total West Asia;Non-OECD
Ireland;IRL;Total West Europe;OECD
Isle of Man;IMN;Total West Europe;Non-OECD
Israel;ISR;Total West Asia;OECD
Italy;ITA;Total West Europe;OECD
Jamaica;JAM;Total Latin America;Non-OECD
