X;CountryCode;IFAReg;OECD;;;;
Afghanistan;AFG;rest;Non-OECD;;;;
Aland Islands;ALA;rest;Non-OECD;;;;
Albania;ALB;Central Europe;Non-OECD;;;;
Algeria;DZA;Africa;Non-OECD;;;;
American Samoa;ASM;rest;Non-OECD;;;;
Andorra;AND;rest;Non-OECD;;;;
Angola;AGO;Africa;Non-OECD;;;;
Anguilla;AIA;rest;Non-OECD;;;;
Antarctica;ATA;rest;Non-OECD;;;;
Antigua and Barbuda;ATG;rest;Non-OECD;;;;
Argentina;ARG;South America;Non-OECD;;;;
Armenia;ARM;FSU;Non-OECD;;;;
Aruba;ABW;rest;Non-OECD;;;;
Australia;AUS;Australaisa;OECD;;;;
Austria;AUT;West Europe;OECD;;;;
Azerbaijan;AZE;FSU;Non-OECD;;;;
Bahamas;BHS;rest;Non-OECD;;;;
Bahrain;BHR;Middle East;Non-OECD;;;;
Bangladesh;BGD;India/South Asia;Non-OECD;;;;
Barbados;BRB;rest;Non-OECD;;;;
Belarus;BLR;FSU;Non-OECD;;;;
Belgium;BEL;West Europe;OECD;;;;
Belize;BLZ;rest;Non-OECD;;;;
Benin;BEN;Africa;Non-OECD;;;;
Bermuda;BMU;rest;Non-OECD;;;;
Bhutan;BTN;rest;Non-OECD;;;;
Bolivia, Plurinational State of;BOL;South America;Non-OECD;;;;
Bonaire, Sint Eustatius and Saba;BES;rest;Non-OECD;;;;
Bosnia and Herzegovina;BIH;Central Europe;Non-OECD;;;;
Botswana;BWA;Africa;Non-OECD;;;;
Bouvet Island;BVT;rest;Non-OECD;;;;
Brazil;BRA;South America;Non-OECD;;;;
British Indian Ocean Territory;IOT;rest;Non-OECD;;;;
Brunei Darussalam;BRN;Southeast Asia;Non-OECD;;;;
Bulgaria;BGR;Central Europe;Non-OECD;;;;
Burkina Faso;BFA;Africa;Non-OECD;;;;
Burundi;BDI;Africa;Non-OECD;;;;
Cambodia;KHM;Southeast Asia;Non-OECD;;;;
Cameroon;CMR;Africa;Non-OECD;;;;
Canada;CAN;North America;OECD;;;;
Cape Verde;CPV;Africa;Non-OECD;;;;
Cayman Islands;CYM;rest;Non-OECD;;;;
Central African Republic;CAF;Africa;Non-OECD;;;;
Chad;TCD;Africa;Non-OECD;;;;
Chile;CHL;South America;OECD;;;;
China;CHN;rest;Non-OECD;;;;
Christmas Island;CXR;rest;Non-OECD;;;;
Cocos (Keeling) Islands;CCK;rest;Non-OECD;;;;
Colombia;COL;South America;OECD;;;;
Comoros;COM;Africa;Non-OECD;;;;
Congo;COG;Africa;Non-OECD;;;;
Congo, the Democratic Republic of the;COD;Africa;Non-OECD;;;;
Cook Islands;COK;rest;Non-OECD;;;;
Costa Rica;CRI;South America;Non-OECD;;;;
Cote d Ivoire;CIV;Africa;Non-OECD;;;;
Croatia;HRV;Central Europe;Non-OECD;;;;
Cuba;CUB;South America;Non-OECD;;;;
Curacao;CUW;South America;Non-OECD;;;;
Cyprus;CYP;West Europe;Non-OECD;;;;
Czech Republic;CZE;Central Europe;OECD;;;;
Denmark;DNK;West Europe;OECD;;;;
Djibouti;DJI;Africa;Non-OECD;;;;
Dominica;DMA;rest;Non-OECD;;;;
Dominican Republic;DOM;South America;Non-OECD;;;;
Ecuador;ECU;South America;Non-OECD;;;;
Egypt;EGY;Africa;Non-OECD;;;;
El Salvador;SLV;South America;Non-OECD;;;;
Equatorial Guinea;GNQ;Africa;Non-OECD;;;;
Eritrea;ERI;Africa;Non-OECD;;;;
Estonia;EST;FSU;OECD;;;;
Ethiopia;ETH;Africa;Non-OECD;;;;
Falkland Islands (Malvinas);FLK;rest;Non-OECD;;;;
Faroe Islands;FRO;rest;Non-OECD;;;;
Fiji;FJI;Australaisa;Non-OECD;;;;
Finland;FIN;West Europe;OECD;;;;
France;FRA;West Europe;OECD;;;;
French Guiana;GUF;rest;Non-OECD;;;;
French Polynesia;PYF;rest;Non-OECD;;;;
French Southern Territories;ATF;rest;Non-OECD;;;;
Gabon;GAB;Africa;Non-OECD;;;;
Gambia;GMB;Africa;Non-OECD;;;;
Georgia;GEO;FSU;Non-OECD;;;;
Germany;DEU;West Europe;OECD;;;;
Ghana;GHA;Africa;Non-OECD;;;;
