 ,CountryCode,OECDPlasticReg,OECD
Aruba,ABW,World,Non-OECD
Afghanistan,AFG,World,Non-OECD
Angola,AGO,World,Non-OECD
Anguilla,AIA,World,Non-OECD
Aland Islands,ALA,World,Non-OECD
Albania,ALB,World,Non-OECD
Andorra,AND,World,Non-OECD
United Arab Emirates,ARE,World,Non-OECD
Argentina,ARG,World,Non-OECD
Armenia,ARM,World,Non-OECD
American Samoa,ASM,World,Non-OECD
Antarctica,ATA,World,Non-OECD
French Southern Territories,ATF,World,Non-OECD
Antigua and Barbuda,ATG,World,Non-OECD
Australia,AUS,World,OECD
Austria,AUT,World,OECD
Azerbaijan,AZE,World,Non-OECD
Burundi,BDI,World,Non-OECD
Belgium,BEL,World,OECD
Benin,BEN,World,Non-OECD
"Bonaire, Sint Eustatius and Saba",BES,World,Non-OECD
Burkina Faso,BFA,World,Non-OECD
Bangladesh,BGD,World,Non-OECD
Bulgaria,BGR,World,Non-OECD
Bahrain,BHR,World,Non-OECD
Bahamas,BHS,World,Non-OECD
Bosnia and Herzegovina,BIH,World,Non-OECD
Saint Barthelemy,BLM,World,Non-OECD
Belarus,BLR,World,Non-OECD
Belize,BLZ,World,Non-OECD
Bermuda,BMU,World,Non-OECD
"Bolivia, Plurinational State of",BOL,World,Non-OECD
Brazil,BRA,World,Non-OECD
Barbados,BRB,World,Non-OECD
Brunei Darussalam,BRN,World,Non-OECD
Bhutan,BTN,World,Non-OECD
Bouvet Island,BVT,World,Non-OECD
Botswana,BWA,World,Non-OECD
Central African Republic,CAF,World,Non-OECD
Canada,CAN,World,OECD
Cocos (Keeling) Islands,CCK,World,Non-OECD
Switzerland,CHE,World,OECD
Chile,CHL,World,OECD
China,CHN,World,Non-OECD
Cote d Ivoire,CIV,World,Non-OECD
Cameroon,CMR,World,Non-OECD
"Congo, the Democratic Republic of the",COD,World,Non-OECD
Congo,COG,World,Non-OECD
Cook Islands,COK,World,Non-OECD
Colombia,COL,World,OECD
Comoros,COM,World,Non-OECD
Cape Verde,CPV,World,Non-OECD
Costa Rica,CRI,World,Non-OECD
Cuba,CUB,World,Non-OECD
Curacao,CUW,World,Non-OECD
Christmas Island,CXR,World,Non-OECD
Cayman Islands,CYM,World,Non-OECD
Cyprus,CYP,World,Non-OECD
Czech Republic,CZE,World,OECD
Germany,DEU,World,OECD
Djibouti,DJI,World,Non-OECD
Dominica,DMA,World,Non-OECD
Denmark,DNK,World,OECD
Dominican Republic,DOM,World,Non-OECD
Algeria,DZA,World,Non-OECD
Ecuador,ECU,World,Non-OECD
