Source,Target
"Acrylonitrile butadiene styrene, Acrylonitrile styrene acrylate, Styrene acrylonitrile resin",ABS_ASA_SAN
Bioplastics,BioPlastics
Fibres,Fibres
Elastomers (tyres),Elastomers (tyres)
Marine coatings,Others
High-density polyethylene,HDPE
Polyethylene terephthalate,PET
Polypropene,PP
Polystyrene,PS
Polyurethane,PUR
"Low-density polyethylene, Linear low-density polyethylene",LDPE
Polyvinyl chloride,PVC
Road marking coatings,Others
Other,Others
Total,Total
Not applicable,Not applicable
