scenario,               base.scenario,   region,   subsector,         phasein,    factor
SSP1,                   SSP2,            NA,       cement,            15,         1
SSP1,                   SSP2,            NA,       chemicals,         15,         1
SSP1,                   SSP2,            NA,       steel_primary,     15,         1
SSP1,                   SSP2,            NA,       steel_secondary,   15,         1
SSP1,                   SSP2,            NA,       otherInd,          15,         1

SSP1,                   SSP2,            CHA,      cement,            75,         0.8
SSP1,                   SSP2,            MEA,      cement,            40,         0.4
SSP1,                   SSP2,            OAS,      cement,            75,         1.2
SSP1,                   SSP2,            IND,      cement,            75,         1.2
SSP1,                   SSP2,            NEU,      cement,            75,         1.2
SSP1,                   SSP2,            LAM,      cement,            75,         1.2
SSP1,                   SSP2,            REF,      cement,            75,         1.2

SSP1,                   SSP2,            MEA,      chemicals,         50,         0.6
SSP1,                   SSP2,            USA,      chemicals,         25,         0.8
SSP1,                   SSP2,            NEU,      chemicals,         25,         1.2

SSP1,                   SSP2,            CHA,      otherInd,          25,         0.7
SSP1,                   SSP2,            JPN,      otherInd,          25,         0.8
SSP1,                   SSP2,            USA,      otherInd,          25,         0.8

SSP1,                   SSP2,            CHA,      steel_primary,     75,         0.6
SSP1,                   SSP2,            JPN,      steel_primary,     75,         0.8
SSP1,                   SSP2,            EUR,      steel_primary,     75,         0.8
SSP1,                   SSP2,            USA,      steel_primary,     75,         0.8
SSP1,                   SSP2,            LAM,      steel_primary,     75,         1.6
SSP1,                   SSP2,            OAS,      steel_primary,     75,         1.4
SSP1,                   SSP2,            IND,      steel_primary,     75,         1.2
SSP1,                   SSP2,            SSA,      steel_primary,     75,         1.2

SSP1,                   SSP2,            CHA,      steel_secondary,   75,         0.6
SSP1,                   SSP2,            JPN,      steel_secondary,   75,         0.8
SSP1,                   SSP2,            EUR,      steel_secondary,   75,         0.8
SSP1,                   SSP2,            USA,      steel_secondary,   75,         0.8
SSP1,                   SSP2,            LAM,      steel_secondary,   75,         1.6
SSP1,                   SSP2,            OAS,      steel_secondary,   75,         1.4
SSP1,                   SSP2,            IND,      steel_secondary,   75,         1.2
SSP1,                   SSP2,            SSA,      steel_secondary,   75,         1.2



SDP,                    SSP1,            NA,       cement,            15,         1
SDP,                    SSP1,            NA,       chemicals,         15,         1
SDP,                    SSP1,            NA,       steel_primary,     15,         1
SDP,                    SSP1,            NA,       steel_secondary,   15,         1
SDP,                    SSP1,            NA,       otherInd,          15,         1
SDP_EI,                 SSP1,            NA,       cement,            15,         1.1
SDP_EI,                 SSP1,            NA,       chemicals,         15,         1.1
SDP_EI,                 SSP1,            NA,       steel_primary,     15,         1.1
SDP_EI,                 SSP1,            NA,       steel_secondary,   15,         1.1
SDP_EI,                 SSP1,            NA,       otherInd,          15,         1.1
SDP_MC,                 SSP1,            NA,       cement,            15,         0.75
SDP_MC,                 SSP1,            NA,       chemicals,         15,         0.85
SDP_MC,                 SSP1,            NA,       steel_primary,     15,         0.85
SDP_MC,                 SSP1,            NA,       steel_secondary,   15,         0.85
SDP_MC,                 SSP1,            NA,       otherInd,          15,         0.85
SDP_RC,                 SSP1,            NA,       cement,            15,         1
SDP_RC,                 SSP1,            NA,       chemicals,         15,         1
SDP_RC,                 SSP1,            NA,       steel_primary,     15,         1
SDP_RC,                 SSP1,            NA,       steel_secondary,   15,         1
SDP_RC,                 SSP1,            NA,       otherInd,          15,         1
SSP3,                   SSP2,            NA,       cement,            15,         1
SSP3,                   SSP2,            NA,       chemicals,         15,         1
SSP3,                   SSP2,            NA,       steel_primary,     15,         1
SSP3,                   SSP2,            NA,       steel_secondary,   15,         1
SSP3,                   SSP2,            NA,       otherInd,          15,         1
SSP4,                   SSP2,            NA,       cement,            15,         1
SSP4,                   SSP2,            NA,       chemicals,         15,         1
SSP4,                   SSP2,            NA,       steel_primary,     15,         1
SSP4,                   SSP2,            NA,       steel_secondary,   15,         1
SSP4,                   SSP2,            NA,       otherInd,          15,         1
SDP_EI,                 SSP1,            CHA,      cement,            15,         1
SDP_EI,                 SSP1,            CHA,      chemicals,         15,         1
SDP_EI,                 SSP1,            CHA,      steel_primary,     15,         1.1
SDP_EI,                 SSP1,            CHA,      steel_secondary,   15,         1.2
SDP_EI,                 SSP1,            CHA,      otherInd,          15,         1
SDP_MC,                 SSP1,            CHA,      cement,            15,         0.675
SDP_MC,                 SSP1,            CHA,      chemicals,         15,         1
SDP_MC,                 SSP1,            CHA,      steel_primary,     15,         0.65
SDP_MC,                 SSP1,            CHA,      steel_secondary,   15,         1.4
SDP_MC,                 SSP1,            CHA,      otherInd,          15,         1
SDP_RC,                 SSP1,            CHA,      cement,            15,         0.78
SDP_RC,                 SSP1,            CHA,      chemicals,         15,         1
SDP_RC,                 SSP1,            CHA,      steel_primary,     15,         0.75
SDP_RC,                 SSP1,            CHA,      steel_secondary,   15,         1.2
SDP_RC,                 SSP1,            CHA,      otherInd,          15,         1
SDP_EI,                 SSP1,            IND,      cement,            15,         1
SDP_EI,                 SSP1,            IND,      chemicals,         15,         2.64
SDP_EI,                 SSP1,            IND,      steel_primary,     15,         1.32
SDP_EI,                 SSP1,            IND,      steel_secondary,   15,         1.32
SDP_EI,                 SSP1,            IND,      otherInd,          15,         1.32
SDP_MC,                 SSP1,            IND,      cement,            15,         0.675
SDP_MC,                 SSP1,            IND,      chemicals,         15,         2.04
SDP_MC,                 SSP1,            IND,      steel_primary,     15,         1.02
SDP_MC,                 SSP1,            IND,      steel_secondary,   15,         1.02
SDP_MC,                 SSP1,            IND,      otherInd,          15,         1.02
SDP_RC,                 SSP1,            IND,      cement,            15,         0.78
SDP_RC,                 SSP1,            IND,      chemicals,         15,         2.4
SDP_RC,                 SSP1,            IND,      steel_primary,     15,         1.2
SDP_RC,                 SSP1,            IND,      steel_secondary,   15,         1.2
SDP_RC,                 SSP1,            IND,      otherInd,          15,         1.2
SDP_EI,                 SSP1,            OAS,      cement,            15,         1.32
SDP_EI,                 SSP1,            OAS,      chemicals,         15,         3.96
SDP_EI,                 SSP1,            OAS,      steel_primary,     15,         3.96
SDP_EI,                 SSP1,            OAS,      steel_secondary,   15,         3.96
SDP_EI,                 SSP1,            OAS,      otherInd,          15,         1.32
SDP_MC,                 SSP1,            OAS,      cement,            15,         0.9
SDP_MC,                 SSP1,            OAS,      chemicals,         15,         3.06
SDP_MC,                 SSP1,            OAS,      steel_primary,     15,         3.06
SDP_MC,                 SSP1,            OAS,      steel_secondary,   15,         3.06
SDP_MC,                 SSP1,            OAS,      otherInd,          15,         1.02
SDP_RC,                 SSP1,            OAS,      cement,            15,         1.2
SDP_RC,                 SSP1,            OAS,      chemicals,         15,         3.6
SDP_RC,                 SSP1,            OAS,      steel_primary,     15,         3.6
SDP_RC,                 SSP1,            OAS,      steel_secondary,   15,         3.6
SDP_RC,                 SSP1,            OAS,      otherInd,          15,         1.2
SDP_EI,                 SSP1,            SSA,      cement,            15,         1.32
SDP_EI,                 SSP1,            SSA,      chemicals,         15,         3.96
SDP_EI,                 SSP1,            SSA,      steel_primary,     15,         14.96
SDP_EI,                 SSP1,            SSA,      steel_secondary,   15,         18.96
SDP_EI,                 SSP1,            SSA,      otherInd,          15,         3.96
SDP_MC,                 SSP1,            SSA,      cement,            15,         0.9
SDP_MC,                 SSP1,            SSA,      chemicals,         15,         3.06
SDP_MC,                 SSP1,            SSA,      steel_primary,     15,         14.06
SDP_MC,                 SSP1,            SSA,      steel_secondary,   15,         18.06
SDP_MC,                 SSP1,            SSA,      otherInd,          15,         3.06
SDP_RC,                 SSP1,            SSA,      cement,            15,         1.2
SDP_RC,                 SSP1,            SSA,      chemicals,         15,         3.6
SDP_RC,                 SSP1,            SSA,      steel_primary,     15,         13.6
SDP_RC,                 SSP1,            SSA,      steel_secondary,   15,         17.6
SDP_RC,                 SSP1,            SSA,      otherInd,          15,         3.6
SDP_EI,                 SSP1,            LAM,      cement,            15,         1.32
SDP_EI,                 SSP1,            LAM,      chemicals,         15,         3.96
SDP_EI,                 SSP1,            LAM,      steel_primary,     15,         3.96
SDP_EI,                 SSP1,            LAM,      steel_secondary,   15,         3.96
SDP_EI,                 SSP1,            LAM,      otherInd,          15,         3.96
SDP_MC,                 SSP1,            LAM,      cement,            15,         0.9
SDP_MC,                 SSP1,            LAM,      chemicals,         15,         3.06
SDP_MC,                 SSP1,            LAM,      steel_primary,     15,         3.06
SDP_MC,                 SSP1,            LAM,      steel_secondary,   15,         3.06
SDP_MC,                 SSP1,            LAM,      otherInd,          15,         3.06
SDP_RC,                 SSP1,            LAM,      cement,            15,         1.2
SDP_RC,                 SSP1,            LAM,      chemicals,         15,         3.6
SDP_RC,                 SSP1,            LAM,      steel_primary,     15,         3.6
SDP_RC,                 SSP1,            LAM,      steel_secondary,   15,         3.6
SDP_RC,                 SSP1,            LAM,      otherInd,          15,         3.6
SDP_EI,                 SSP1,            MEA,      cement,            15,         1.32
SDP_EI,                 SSP1,            MEA,      chemicals,         15,         2.64
SDP_EI,                 SSP1,            MEA,      steel_primary,     15,         2.64
SDP_EI,                 SSP1,            MEA,      steel_secondary,   15,         2.64
SDP_EI,                 SSP1,            MEA,      otherInd,          15,         2.64
SDP_MC,                 SSP1,            MEA,      cement,            15,         0.9
SDP_MC,                 SSP1,            MEA,      chemicals,         15,         2.04
SDP_MC,                 SSP1,            MEA,      steel_primary,     15,         2.04
SDP_MC,                 SSP1,            MEA,      steel_secondary,   15,         2.04
SDP_MC,                 SSP1,            MEA,      otherInd,          15,         2.04
SDP_RC,                 SSP1,            MEA,      cement,            15,         1.2
SDP_RC,                 SSP1,            MEA,      chemicals,         15,         2.4
